State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
IA,143.0,510.0,No,,33.0,,130.0,,186.4,,15.84,210.0,111.0,9.45,7.7,6.0,,1.0,False
IL,183.0,510.0,No,No,0.0,,87.0,,183.6,116.0,,,109.0,7.95,13.5,2.0,3.65,0.0,False
KY,58.0,415.0,,No,,247.2,116.0,42.02,303.7,103.0,25.81,105.4,94.0,4.74,9.3,2.0,2.51,2.0,True
TN,123.0,415.0,No,No,0.0,166.9,98.0,,221.8,77.0,18.85,243.9,114.0,10.98,12.8,4.0,3.46,3.0,False
,,510.0,No,No,0.0,71.2,90.0,12.1,304.4,,25.87,183.3,,8.25,8.6,4.0,,0.0,False
,53.0,415.0,No,No,0.0,164.1,106.0,27.9,206.0,56.0,,194.7,,8.76,11.4,2.0,,1.0,False
,101.0,415.0,,No,0.0,154.4,130.0,26.25,217.2,,18.46,185.4,52.0,8.34,13.9,4.0,,,False
ND,,408.0,No,No,0.0,231.2,141.0,39.3,,,,240.3,100.0,10.81,,5.0,,1.0,True
VA,163.0,,No,,0.0,,100.0,34.49,178.6,46.0,15.18,203.8,,9.17,,3.0,3.46,5.0,False
,120.0,415.0,No,No,0.0,,,30.12,,99.0,22.98,231.5,,10.42,14.0,2.0,3.78,,False
TN,,415.0,No,No,0.0,,80.0,22.63,206.5,120.0,17.55,221.6,96.0,9.97,,8.0,,1.0,False
NE,147.0,,,Yes,38.0,243.4,,,273.8,,23.27,282.9,91.0,12.73,,8.0,3.81,2.0,False
,,408.0,,,46.0,168.3,124.0,28.61,270.9,103.0,,222.5,98.0,10.01,6.7,2.0,1.81,4.0,False
OR,,415.0,No,Yes,33.0,111.6,140.0,18.97,,,18.13,267.6,115.0,12.04,,,4.32,,False
TN,,415.0,No,,,206.2,113.0,35.05,176.4,102.0,14.99,297.1,,13.37,11.0,7.0,2.97,,False
TX,90.0,408.0,No,Yes,27.0,156.7,51.0,26.64,236.5,118.0,20.1,,111.0,5.54,12.6,,,2.0,False
TN,37.0,415.0,No,No,0.0,221.0,126.0,37.57,204.5,110.0,17.38,118.0,98.0,5.31,6.8,,1.84,4.0,False
NC,,,,No,0.0,165.7,94.0,28.17,,80.0,21.88,170.8,114.0,7.69,10.0,4.0,,1.0,False
MT,109.0,510.0,,No,0.0,154.8,,26.32,287.7,,24.45,208.4,80.0,9.38,5.9,9.0,1.59,,False
,105.0,510.0,No,No,0.0,125.4,116.0,,261.5,,22.23,241.6,104.0,10.87,11.4,9.0,,2.0,False
,74.0,415.0,No,No,,124.8,114.0,21.22,133.0,121.0,11.31,160.3,85.0,7.21,10.6,7.0,2.86,,False
AL,76.0,415.0,,No,0.0,179.2,85.0,30.46,222.9,66.0,18.95,,,8.47,12.4,2.0,3.35,0.0,False
CT,116.0,415.0,No,,0.0,245.9,73.0,41.8,240.1,87.0,,158.7,89.0,7.14,8.9,5.0,2.4,3.0,False
UT,138.0,510.0,No,No,,205.9,96.0,35.0,257.1,94.0,21.85,209.0,,9.4,12.1,8.0,3.27,0.0,False
DC,102.0,,No,No,0.0,186.8,92.0,31.76,173.7,123.0,14.76,250.9,131.0,,,4.0,2.62,2.0,False
UT,164.0,510.0,No,No,,192.1,95.0,32.66,249.8,94.0,21.23,132.6,100.0,5.97,7.3,3.0,,3.0,False
MN,125.0,415.0,,No,0.0,,82.0,40.92,269.4,85.0,22.9,187.1,74.0,8.42,,3.0,,0.0,True
,209.0,,No,No,0.0,,124.0,,230.6,110.0,19.6,218.0,69.0,,8.5,5.0,2.3,3.0,True
,,408.0,No,Yes,,183.6,138.0,31.21,203.8,,17.32,166.9,89.0,7.51,6.0,,1.62,2.0,False
MD,189.0,415.0,No,,30.0,155.2,116.0,26.38,195.5,50.0,16.62,170.1,108.0,7.65,15.4,,4.16,,False
,84.0,,No,,0.0,203.4,125.0,34.58,182.9,88.0,15.55,213.7,121.0,9.62,13.8,2.0,3.73,1.0,False
NJ,182.0,415.0,No,No,,279.1,124.0,,,108.0,15.34,217.5,,9.79,9.5,11.0,2.57,,True
HI,171.0,510.0,No,No,0.0,189.8,122.0,32.27,173.7,85.0,14.76,257.1,84.0,11.57,10.3,1.0,2.78,0.0,False
DE,90.0,415.0,No,No,,198.5,124.0,33.75,266.6,100.0,22.66,243.3,80.0,10.95,,7.0,2.16,2.0,False
,117.0,510.0,No,No,,158.7,84.0,26.98,181.7,91.0,15.44,177.3,,,7.7,10.0,2.08,2.0,False
KS,186.0,510.0,No,No,0.0,,,23.43,187.7,118.0,15.95,146.4,,6.59,8.7,6.0,2.35,,False
,55.0,408.0,No,Yes,,,101.0,23.68,178.3,117.0,15.16,246.5,104.0,,8.1,1.0,2.19,3.0,False
,74.0,408.0,No,No,0.0,177.4,,30.16,240.3,104.0,20.43,237.3,133.0,10.68,12.0,3.0,3.24,,False
IN,130.0,408.0,No,No,0.0,115.6,129.0,19.65,167.8,,,141.8,124.0,6.38,12.6,9.0,3.4,1.0,False
DC,,,No,,,51.5,90.0,8.76,164.0,98.0,13.94,169.4,80.0,7.62,9.5,4.0,,3.0,False
MS,,415.0,,,0.0,,99.0,22.39,,109.0,,201.1,116.0,9.05,,3.0,2.89,1.0,False
NH,84.0,408.0,No,Yes,30.0,106.5,65.0,18.11,225.7,108.0,,188.6,61.0,8.49,5.7,3.0,1.54,,False
NJ,134.0,510.0,No,Yes,34.0,247.2,105.0,42.02,225.5,133.0,19.17,186.3,76.0,8.38,,5.0,,,True
VT,68.0,415.0,No,No,,158.8,119.0,,,105.0,18.0,,101.0,8.91,,3.0,2.78,1.0,False
,,,No,No,0.0,239.1,88.0,,243.5,79.0,20.7,,92.0,10.39,10.9,3.0,,,True
KS,166.0,,Yes,,28.0,175.8,126.0,29.89,253.6,76.0,21.56,128.5,72.0,5.78,,5.0,3.08,1.0,False
NH,90.0,,,Yes,,193.3,66.0,32.86,263.3,,,,,,11.1,4.0,3.0,0.0,False
,,415.0,No,Yes,,137.8,95.0,,,,20.02,268.1,,12.06,11.0,6.0,2.97,2.0,False
,130.0,415.0,No,No,0.0,263.7,113.0,,,103.0,15.85,,99.0,,18.3,6.0,4.94,,True
,130.0,408.0,No,No,0.0,252.0,,,170.2,105.0,14.47,209.2,64.0,9.41,,5.0,1.54,0.0,False
RI,155.0,408.0,Yes,,0.0,163.1,94.0,27.73,291.7,108.0,,96.4,111.0,4.34,11.2,3.0,3.02,0.0,False
OR,,,No,No,0.0,324.7,48.0,55.2,,82.0,20.09,187.6,78.0,8.44,13.1,5.0,3.54,,True
NC,75.0,408.0,No,No,0.0,203.3,70.0,34.56,228.9,97.0,19.46,222.2,118.0,10.0,,3.0,,1.0,False
,178.0,,No,Yes,35.0,175.4,88.0,29.82,190.0,,16.15,,94.0,6.24,10.5,,,,False
,112.0,,No,No,0.0,266.0,,,214.6,,18.24,306.2,100.0,,14.2,2.0,3.83,2.0,True
AZ,100.0,510.0,No,,0.0,,98.0,13.38,,102.0,,,106.0,6.77,14.0,8.0,3.78,0.0,False
WV,104.0,415.0,No,No,0.0,,123.0,38.4,162.8,,,272.1,85.0,12.24,,4.0,2.73,1.0,False
NY,160.0,408.0,No,,0.0,216.8,77.0,36.86,207.3,,17.62,228.6,,10.29,5.6,2.0,1.51,,False
WV,,,No,No,,,125.0,9.86,67.5,116.0,5.74,185.9,136.0,8.37,11.5,,,0.0,False
NM,,415.0,No,No,0.0,173.2,,,236.2,94.0,20.08,240.2,84.0,,11.8,6.0,3.19,2.0,False
,28.0,415.0,No,No,0.0,,102.0,40.26,167.1,87.0,14.2,280.2,115.0,12.61,9.7,3.0,2.62,,False
,95.0,,No,No,0.0,237.3,83.0,40.34,154.0,65.0,,,105.0,10.67,11.2,6.0,3.02,1.0,False
,35.0,408.0,No,No,,158.6,,26.96,,,11.08,,80.0,10.34,6.9,,1.86,2.0,False
,134.0,510.0,No,No,,296.0,93.0,50.32,226.4,117.0,,,98.0,11.11,,10.0,,0.0,True
,,,No,Yes,,157.3,123.0,,257.7,94.0,,190.4,107.0,8.57,9.6,6.0,2.59,0.0,False
PA,85.0,408.0,No,No,0.0,144.4,88.0,,264.6,105.0,22.49,185.4,94.0,8.34,9.9,,2.67,1.0,False
TN,148.0,415.0,No,,36.0,77.6,,13.19,207.0,60.0,17.6,255.7,115.0,11.51,10.9,2.0,,,False
CT,134.0,,No,Yes,32.0,80.3,94.0,13.65,199.9,124.0,16.99,170.8,117.0,7.69,16.6,3.0,4.48,0.0,False
MA,80.0,408.0,No,Yes,36.0,190.3,115.0,32.35,256.6,78.0,21.81,214.9,145.0,9.67,,,1.03,1.0,False
,165.0,510.0,No,No,0.0,,67.0,35.6,273.8,89.0,23.27,,88.0,6.76,,1.0,3.46,,False
KS,65.0,,No,,34.0,208.8,119.0,35.5,142.1,106.0,12.08,,87.0,9.66,,4.0,3.38,,False
OK,,,,No,0.0,113.6,,19.31,158.6,98.0,13.48,,87.0,8.45,10.5,6.0,2.84,,False
,,415.0,,No,0.0,,89.0,34.44,163.0,96.0,,,151.0,,8.3,3.0,2.24,0.0,False
OH,162.0,415.0,,No,0.0,135.2,98.0,22.98,242.0,107.0,20.57,246.9,,11.11,10.2,2.0,2.75,2.0,False
WA,96.0,415.0,No,No,0.0,276.9,105.0,47.07,,94.0,20.99,254.4,107.0,11.45,,3.0,2.78,1.0,True
IN,,510.0,No,No,0.0,,116.0,48.86,235.3,126.0,20.0,292.1,,13.14,5.0,3.0,1.35,4.0,True
NE,,415.0,No,,0.0,97.5,,16.58,,78.0,,88.7,100.0,3.99,7.0,,1.89,1.0,False
AL,72.0,415.0,No,No,,166.5,102.0,28.31,,103.0,22.19,262.7,85.0,,13.3,,3.59,0.0,False
PA,136.0,408.0,No,No,0.0,102.1,75.0,17.36,219.5,97.0,18.66,73.7,92.0,3.32,9.8,5.0,2.65,,False
OR,82.0,415.0,,Yes,,146.5,73.0,24.91,246.4,65.0,20.94,199.0,114.0,8.96,4.1,4.0,1.11,,False
MN,155.0,408.0,Yes,No,0.0,250.8,146.0,,152.5,105.0,12.96,148.1,104.0,6.66,,5.0,2.7,2.0,False
,136.0,415.0,No,No,0.0,163.4,83.0,27.78,249.3,119.0,,249.7,,11.24,9.8,4.0,,7.0,False
TX,,,,No,,161.0,113.0,27.37,,134.0,17.68,208.1,81.0,9.36,8.4,,2.27,,False
NM,,415.0,No,No,0.0,81.6,94.0,,,112.0,,,75.0,6.34,8.6,18.0,,1.0,False
NC,95.0,408.0,No,No,0.0,128.6,115.0,21.86,216.2,88.0,18.38,,96.0,,6.3,,,6.0,True
ID,113.0,415.0,No,Yes,,183.8,102.0,31.25,183.4,123.0,15.59,,52.0,10.58,11.6,7.0,3.13,0.0,False
WI,103.0,,No,,0.0,180.2,134.0,30.63,,85.0,8.3,181.7,134.0,,8.4,3.0,2.27,1.0,False
SC,,415.0,No,,,147.8,132.0,25.13,276.8,,23.53,149.9,110.0,6.75,,,2.75,,False
NV,116.0,408.0,,No,0.0,,,18.85,213.4,82.0,18.14,186.2,116.0,8.38,7.9,2.0,2.13,2.0,False
NE,95.0,510.0,No,No,0.0,,,9.89,202.1,126.0,17.18,210.5,97.0,9.47,10.4,5.0,2.81,0.0,False
UT,201.0,,No,No,0.0,212.7,,36.16,,90.0,19.14,195.1,99.0,8.78,7.0,6.0,,1.0,False
,150.0,415.0,No,No,0.0,,117.0,36.38,192.4,89.0,16.35,242.6,99.0,10.92,7.9,4.0,,1.0,False
MI,108.0,408.0,Yes,No,0.0,115.1,,19.57,,,17.96,,85.0,6.12,13.8,3.0,3.73,2.0,True
MO,101.0,,,No,0.0,156.4,,26.59,130.4,114.0,11.08,207.3,109.0,9.33,7.3,5.0,1.97,1.0,False
,182.0,415.0,No,Yes,24.0,,104.0,21.78,143.4,127.0,12.19,191.0,98.0,8.59,11.6,3.0,3.13,,False
,128.0,408.0,No,No,,227.9,130.0,38.74,,71.0,25.72,191.5,82.0,,5.5,7.0,1.49,1.0,True
VA,113.0,408.0,No,Yes,34.0,44.9,,,134.2,,11.41,168.4,118.0,7.58,,3.0,3.59,1.0,False
RI,76.0,415.0,No,No,0.0,171.1,78.0,,257.2,83.0,21.86,91.6,92.0,4.12,16.2,3.0,,1.0,False
MD,,510.0,No,,0.0,205.2,145.0,34.88,154.8,95.0,13.16,191.4,,,14.1,,3.81,,False
OH,32.0,415.0,,Yes,31.0,232.8,97.0,39.58,183.5,111.0,15.6,206.8,111.0,9.31,13.0,2.0,3.51,0.0,False
CO,103.0,415.0,No,Yes,37.0,153.5,78.0,,241.9,108.0,20.56,244.7,,11.01,10.6,3.0,,1.0,False
UT,,510.0,No,No,,,92.0,,150.9,125.0,12.83,245.5,131.0,,14.6,9.0,3.94,1.0,False
,57.0,415.0,No,No,0.0,85.9,92.0,14.6,193.9,,16.48,231.5,,10.42,10.1,2.0,2.73,,False
KY,64.0,415.0,,No,,146.7,83.0,24.94,148.3,,12.61,238.6,69.0,10.74,,3.0,3.38,3.0,False
DC,70.0,415.0,No,No,0.0,152.8,145.0,,,102.0,15.61,151.8,75.0,6.83,10.5,2.0,2.84,,False
MA,,408.0,No,No,0.0,216.8,134.0,36.86,187.8,106.0,15.96,138.1,108.0,6.21,,2.0,2.24,0.0,False
AZ,,415.0,No,No,0.0,172.8,81.0,29.38,193.4,90.0,16.44,89.6,107.0,4.03,12.8,,3.46,,False
,,510.0,No,No,0.0,263.4,123.0,44.78,,74.0,12.91,218.5,101.0,9.83,10.7,2.0,,2.0,False
CO,130.0,408.0,No,No,0.0,271.8,129.0,46.21,237.2,128.0,20.16,210.1,91.0,9.45,8.7,2.0,2.35,4.0,True
OR,166.0,510.0,No,No,,199.6,93.0,33.93,214.3,99.0,18.22,196.8,,8.86,7.2,5.0,1.94,3.0,False
MS,130.0,510.0,No,No,0.0,203.9,63.0,,191.8,93.0,16.3,,125.0,,12.1,4.0,3.27,3.0,False
SC,111.0,510.0,No,,0.0,,119.0,13.31,,94.0,16.85,248.5,94.0,11.18,12.1,,3.27,1.0,False
IN,100.0,415.0,No,Yes,32.0,125.2,123.0,21.28,230.9,101.0,19.63,192.0,106.0,8.64,12.6,9.0,3.4,3.0,False
ME,57.0,415.0,No,No,0.0,221.1,101.0,37.59,236.7,65.0,,,137.0,11.35,9.5,1.0,,0.0,False
DE,139.0,408.0,No,No,0.0,,,23.63,132.9,93.0,,272.0,,,12.1,1.0,,,False
OR,113.0,415.0,No,No,0.0,159.8,143.0,27.17,210.1,93.0,17.86,175.1,86.0,,13.1,7.0,3.54,2.0,False
NJ,,,No,No,0.0,239.3,,40.68,,127.0,,251.4,104.0,,,6.0,,,False
MT,100.0,,No,No,0.0,113.3,96.0,19.26,,89.0,16.82,,93.0,,11.7,2.0,3.16,4.0,True
WV,120.0,510.0,,No,0.0,192.6,,32.74,,105.0,17.54,,93.0,12.74,10.8,3.0,2.92,1.0,False
,107.0,408.0,No,Yes,36.0,96.3,83.0,16.37,179.6,91.0,15.27,166.3,121.0,7.48,,2.0,2.78,1.0,False
,104.0,408.0,No,No,0.0,280.4,127.0,47.67,,79.0,15.25,150.6,77.0,6.78,15.2,,,5.0,False
,,415.0,No,,0.0,245.3,91.0,41.7,122.9,130.0,10.45,228.4,102.0,10.28,,4.0,2.3,4.0,False
MT,,415.0,No,,14.0,151.5,100.0,25.76,248.7,126.0,,199.8,120.0,8.99,10.7,5.0,,2.0,False
NM,183.0,415.0,No,,0.0,190.0,100.0,32.3,246.6,78.0,20.96,304.2,,13.69,9.5,4.0,2.57,1.0,False
IL,123.0,,No,No,0.0,114.8,94.0,19.52,150.0,104.0,12.75,268.6,,12.09,,4.0,2.59,2.0,False
IN,64.0,408.0,No,,0.0,113.8,,19.35,,97.0,16.35,214.9,89.0,9.67,,,2.81,,False
ND,27.0,415.0,,No,0.0,227.4,67.0,38.66,,115.0,,61.4,109.0,,,6.0,2.11,1.0,False
NH,123.0,,No,No,0.0,224.0,99.0,38.08,,,17.91,,75.0,10.44,2.1,,0.57,,False
NM,84.0,408.0,No,Yes,,153.9,102.0,26.16,140.7,117.0,11.96,217.7,101.0,9.8,,5.0,3.46,1.0,False
LA,91.0,415.0,No,No,0.0,190.5,128.0,,205.5,103.0,17.47,130.7,,5.88,13.8,,3.73,0.0,False
KY,95.0,510.0,No,,0.0,157.3,,26.74,197.5,,16.79,128.2,111.0,,8.4,4.0,,,False
WV,73.0,415.0,No,,0.0,240.3,130.0,,162.5,,13.81,231.9,136.0,,11.9,3.0,,0.0,False
WV,58.0,408.0,No,Yes,39.0,211.9,40.0,36.02,274.4,76.0,23.32,210.5,139.0,9.47,5.4,4.0,1.46,1.0,False
IA,,415.0,No,,0.0,,,,165.1,127.0,14.03,141.5,142.0,6.37,10.8,,2.92,1.0,False
NE,67.0,,No,Yes,41.0,174.7,86.0,29.7,160.6,93.0,13.65,155.3,,6.99,13.4,1.0,,,False
WA,152.0,,No,No,,161.4,84.0,27.44,163.6,88.0,13.91,,,,11.8,5.0,3.19,1.0,False
PA,142.0,510.0,No,Yes,40.0,230.7,101.0,39.22,256.8,88.0,21.83,263.9,92.0,11.88,6.4,3.0,1.73,1.0,False
,105.0,,,,0.0,,96.0,39.54,253.4,,21.54,,101.0,,10.5,,2.84,1.0,False
DC,93.0,408.0,No,Yes,22.0,,,,189.7,83.0,,240.3,107.0,10.81,,2.0,,0.0,False
KY,79.0,415.0,No,No,,,,40.26,186.4,87.0,15.84,126.9,112.0,,10.4,,2.81,2.0,False
,88.0,408.0,No,,0.0,153.5,,26.1,,,21.39,182.2,99.0,8.2,8.5,,,1.0,False
,110.0,408.0,No,No,0.0,159.5,145.0,27.12,202.3,101.0,17.2,256.0,,11.52,16.7,2.0,4.51,2.0,False
NY,209.0,415.0,No,,0.0,153.7,105.0,,188.6,87.0,,,95.0,9.04,,2.0,2.89,,False
OR,27.0,510.0,No,No,,232.1,81.0,39.46,,101.0,,,87.0,7.44,15.0,6.0,4.05,5.0,False
,117.0,415.0,,No,0.0,201.9,,34.32,212.3,96.0,18.05,176.9,98.0,7.96,7.8,10.0,2.11,1.0,False
MA,87.0,,,No,0.0,186.9,,31.77,182.6,105.0,15.52,143.1,,,4.2,14.0,1.13,1.0,False
CT,129.0,,No,Yes,27.0,196.6,89.0,33.42,,95.0,15.35,,83.0,11.03,6.6,5.0,1.78,,False
WI,142.0,510.0,No,No,0.0,232.1,,39.46,168.2,110.0,14.3,197.3,120.0,8.88,9.9,,2.67,,False
OK,,415.0,No,,0.0,166.0,,28.22,74.6,100.0,6.34,247.9,74.0,11.16,6.3,,1.7,0.0,False
,97.0,408.0,No,Yes,25.0,,101.0,23.97,212.0,85.0,18.02,175.2,,7.88,4.9,2.0,1.32,,False
KS,,415.0,No,No,0.0,231.3,,,224.7,88.0,19.1,214.6,,,7.2,7.0,1.94,1.0,False
KS,127.0,415.0,No,Yes,24.0,154.8,69.0,26.32,177.2,105.0,15.06,207.6,102.0,,9.0,4.0,2.43,1.0,False
WY,148.0,408.0,No,No,0.0,243.0,115.0,41.31,191.8,91.0,16.3,117.8,93.0,5.3,13.4,5.0,3.62,2.0,False
OK,138.0,510.0,No,Yes,33.0,155.2,139.0,26.38,268.3,,22.81,,71.0,,,,2.62,,False
WA,84.0,415.0,No,No,0.0,289.1,100.0,49.15,233.8,,,223.5,,10.06,12.7,2.0,3.43,2.0,True
MD,133.0,,,No,0.0,295.0,,50.15,223.6,101.0,19.01,229.4,109.0,10.32,12.9,4.0,3.48,,True
NY,,510.0,No,Yes,27.0,,115.0,21.85,163.7,,13.91,242.9,121.0,10.93,0.0,0.0,0.0,,False
WI,,415.0,No,,,238.0,,40.46,164.5,97.0,13.98,282.5,132.0,,10.6,6.0,2.86,2.0,False
AK,99.0,,No,No,,,96.0,40.53,246.5,130.0,20.95,198.4,117.0,8.93,12.4,4.0,,3.0,False
AZ,48.0,415.0,No,,,141.1,109.0,23.99,224.7,94.0,19.1,,122.0,7.84,13.2,2.0,3.56,1.0,False
KS,,415.0,No,,0.0,158.1,117.0,26.88,115.2,,9.79,182.4,,8.21,,7.0,3.19,0.0,False
CA,,510.0,No,No,0.0,107.9,,,187.0,77.0,15.9,218.5,95.0,,0.0,0.0,0.0,0.0,False
,,408.0,No,No,0.0,203.8,85.0,34.65,87.8,110.0,7.46,166.2,122.0,7.48,11.7,4.0,3.16,,False
CA,84.0,415.0,No,No,0.0,280.0,113.0,47.6,,90.0,17.19,,,7.06,10.4,4.0,2.81,,True
WI,114.0,415.0,No,,26.0,137.1,88.0,,155.7,125.0,,,94.0,11.14,11.5,,,2.0,False
AL,,408.0,No,Yes,29.0,83.6,131.0,14.21,203.9,131.0,17.33,,73.0,10.33,8.1,3.0,2.19,1.0,False
VT,60.0,415.0,,No,0.0,193.9,118.0,32.96,85.0,110.0,,210.1,,9.45,,,3.56,3.0,False
WV,,415.0,No,No,0.0,169.8,114.0,28.87,197.7,105.0,16.8,,,8.72,11.6,,3.13,1.0,False
,184.0,510.0,Yes,No,0.0,,105.0,36.35,159.6,84.0,13.57,139.2,137.0,6.26,5.0,10.0,1.35,,False
